date,S&P500 EPS,TPX500 EPS
28/12/12,100.00,100.00
25/01/13,100.31,104.19
22/02/13,101.01,109.86
29/03/13,101.83,115.77
26/04/13,102.14,119.46
31/05/13,102.97,125.35
28/06/13,103.62,129.98
26/07/13,104.69,131.34
30/08/13,105.17,133.79
27/09/13,105.89,135.59
25/10/13,106.12,136.72
29/11/13,106.86,137.81
27/12/13,107.22,140.47
31/01/14,107.04,142.19
28/02/14,107.30,144.25
28/03/14,108.13,144.58
25/04/14,110.21,145.30
30/05/14,110.42,145.47
27/06/14,111.36,145.66
25/07/14,112.61,147.07
29/08/14,113.45,149.16
26/09/14,113.90,150.35
31/10/14,114.62,153.52
28/11/14,113.20,155.22
26/12/14,111.87,159.58
30/01/15,108.32,161.82
27/02/15,108.09,163.81
27/03/15,108.66,165.29
24/04/15,109.00,166.48
29/05/15,110.39,168.24
26/06/15,111.05,170.23
31/07/15,112.10,173.12
28/08/15,112.03,174.83
25/09/15,111.88,175.24
30/10/15,111.45,175.06
27/11/15,111.35,175.24
25/12/15,111.45,175.25
29/01/16,109.52,175.08
26/02/16,109.43,171.85
25/03/16,109.20,169.83
29/04/16,109.53,168.39
27/05/16,110.71,163.60
24/06/16,111.67,161.45
29/07/16,112.61,158.02
26/08/16,113.15,157.44
30/09/16,114.26,161.04
28/10/16,114.82,161.25
25/11/16,115.37,161.18
30/12/16,116.75,165.65
27/01/17,117.76,168.66
24/02/17,117.67,171.87
31/03/17,118.59,175.56
28/04/17,119.73,176.71
26/05/17,120.93,176.18
30/06/17,122.18,179.65
28/07/17,123.13,181.24
25/08/17,122.74,186.27
29/09/17,123.69,187.41
27/10/17,124.87,188.17
24/11/17,125.93,191.70
29/12/17,128.16,193.98
26/01/18,134.72,195.91
23/02/18,139.02,200.92
30/03/18,140.70,202.38
27/04/18,142.77,208.71
25/05/18,144.68,208.85
29/06/18,146.35,213.13
27/07/18,148.14,214.79
31/08/18,150.30,216.83
28/09/18,142.27,210.22
26/10/18,147.77,203.61
30/11/18,148.22,202.05
28/12/18,147.21,199.14
25/01/19,147.11,202.09
22/02/19,145.84,193.56
29/03/19,147.43,182.27
26/04/19,148.32,185.97
31/05/19,149.07,189.98
28/06/19,149.91,187.38
26/07/19,149.72,187.37
30/08/19,151.42,190.39
27/09/19,145.67,187.00
25/10/19,145.30,182.78
29/11/19,149.00,183.52
27/12/19,146.72,179.76
31/01/20,146.63,180.10
28/02/20,147.14,180.01
27/03/20,146.66,181.67
24/04/20,128.73,171.13
29/05/20,120.46,150.48
26/06/20,121.84,139.14
31/07/20,126.45,135.33
28/08/20,131.16,135.75
25/09/20,135.37,144.93
30/10/20,137.90,140.43
27/11/20,143.62,150.73
25/12/20,139.91,149.65
29/01/21,150.39,155.21
26/02/21,155.02,159.75
26/03/21,158.54,167.11
30/04/21,168.04,169.47
28/05/21,173.08,175.73
25/06/21,176.42,181.59
30/07/21,180.95,187.21
27/08/21,185.06,195.53
24/09/21,188.85,200.39
29/10/21,191.33,202.42
26/11/21,193.22,206.00
31/12/21,195.99,210.04
28/01/22,197.34,213.02
25/02/22,195.89,217.77
25/03/22,196.77,218.74
29/04/22,202.64,220.13
27/05/22,202.23,223.29
24/06/22,202.91,224.22
29/07/22,205.36,225.46
